traceTime,traceId,service,rpc_id,rpctype,parentMS,parentId,parentOperation,childMS,childId,rt
100841,T_10000007374,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_166,2.0
100841,T_10000007374,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_10,2.0
58142,T_10022378353,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_163,12.0
58141,T_10022378353,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_9,14.0
58317,T_10022593663,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_5,2.0
58317,T_10022593663,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_117,2.0
172,T_10068036771,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_260,2.0
172,T_10068036771,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_8,2.0
127671,T_10136307670,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_92,2.0
127670,T_10136307670,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_31,3.0
10058,T_10136318152,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_511,4.0
10058,T_10136318152,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_1,4.0
143776,T_10249836966,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_31,3.0
143777,T_10249836966,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_284,2.0
3272,T_10250109062,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_32,3.0
3272,T_10250109062,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_286,2.0
78384,T_10272288294,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_35,4.0
78384,T_10272288294,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_18,4.0
64784,T_10295047485,S_10694245,0,http,USER,USER,IpvbmFp09n,MS_52059,MS_52059_POD_34,2.0
64784,T_10295047485,S_10694245,0.1,rpc,UNAVAILABLE,UNAVAILABLE,IpvbmFp09n,MS_71843,MS_71843_POD_487,2.0
114930,T_10000021144,S_40318420,0.1.1,http,UNKNOWN,UNAVAILABLE,lKoeL9cqDW,MS_745,MS_745_POD_1523,1.0
114929,T_10000021144,S_40318420,0,http,USER,USER,lKoeL9cqDW,MS_52059,MS_52059_POD_11,3.0
114929,T_10000021144,S_40318420,0.1,rpc,UNAVAILABLE,UNAVAILABLE,lKoeL9cqDW,MS_3351,MS_3351_POD_860,2.0
114931,T_10000021144,S_40318420,0.1.1.1,http,MS_745,MS_745_POD_1523,L04k5eGpyE,MS_2548,MS_2548_POD_8,0.0
24097,T_10045298799,S_40318420,0,http,USER,USER,lKoeL9cqDW,MS_52059,MS_52059_POD_5,11.0
24106,T_10045298799,S_40318420,0.1.1,http,UNKNOWN,UNAVAILABLE,lKoeL9cqDW,MS_745,MS_745_POD_771,1.0
24104,T_10045298799,S_40318420,0.1,rpc,UNAVAILABLE,UNAVAILABLE,lKoeL9cqDW,MS_3351,MS_3351_POD_189,4.0
24106,T_10045298799,S_40318420,0.1.1.1,http,MS_745,MS_745_POD_771,L04k5eGpyE,MS_2548,MS_2548_POD_19,1.0
