chain,ms,n,percentage,a1,b1,a2,b2,s,pod_num
1,0,22,0.9,-0.004115295887665306,5.233952058029366,-0.0022613602143132464,3.20764510128535,0.305,18
2,0,100,0.1,-0.004115295887665306,5.233952058029366,-0.0022613602143132464,3.20764510128535,0.305,18
1,1,10,0.9,-0.0022161223563252844,6.814692063194,-0.003574295891394839,6.604572938115757,0.27,8
2,1,60,0.1,-0.0022161223563252844,6.814692063194,-0.003574295891394839,6.604572938115757,0.27,8
1,2,16,0.9,-0.004656177083163462,6.426718349841458,-0.0036983740181528112,4.663019192761463,0.283,15
2,2,64,0.1,-0.004656177083163462,6.426718349841458,-0.0036983740181528112,4.663019192761463,0.283,15
1,3,26,0.9,-0.00506201657513918,6.925055119999029,-0.004003420378066556,5.344742051986716,0.41,15
2,4,113,0.1,-0.005278619925908596,6.772149898509025,-0.004729595968048635,6.233418895800545,0.433,8
1,5,2,0.9,-0.0011528812080674813,3.909966623398917,-0.0011593116011733133,3.7974130832038124,0.54,2
2,5,12,0.1,-0.0011528812080674813,3.909966623398917,-0.0011593116011733133,3.7974130832038124,0.54,2
2,6,18,0.1,0.0047234481551888564,2.689693371691417,0.0041809397651279695,2.9472451371295243,0.817,6
1,7,3,0.9,-0.0013811291033459603,2.2103188178105357,-0.0029435714629881793,2.427941404772201,0.686,8
1,8,1,0.9,-0.0028556622812510486,5.4428768265638094,-0.0023775183862702084,4.306145726549881,0.605,1
2,8,6,0.1,-0.0028556622812510486,5.4428768265638094,-0.0023775183862702084,4.306145726549881,0.605,1
1,9,8,0.9,-0.003908372984013003,4.2520955304627925,-0.00537972513350687,4.560892731135992,0.69,15
2,9,26,0.1,-0.003908372984013003,4.2520955304627925,-0.00537972513350687,4.560892731135992,0.69,15
1,10,11,0.9,-0.006648102480300167,5.1834628838810435,-0.004056792933501183,3.2188023802997248,0.601,15
2,10,50,0.1,-0.006648102480300167,5.1834628838810435,-0.004056792933501183,3.2188023802997248,0.601,15
1,11,4,0.9,-0.002591973514235481,3.7805626652171966,-0.0032686096175277343,3.8385111569417885,0.788,8
2,11,24,0.1,-0.002591973514235481,3.7805626652171966,-0.0032686096175277343,3.8385111569417885,0.788,8
