traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
00092b411f3455b3,1750232313095421,1750232313094183,1750232313096026,796c4491b0246cc0,1ef3a09872c9310c,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,2137,1843
00092b411f3455b3,1750232313095421,1750232313095966,1750232313096171,306a0fa8f910a789,5e879e5a9f206750,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,486,205
00092b411f3455b3,1750232313095421,1750232313095190,1750232313095851,1e323178bdefc388,33a2a9d5b4380d29,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,928,661
00092b411f3455b3,1750232313095421,1750232313094335,1750232313094821,1ef3a09872c9310c,306a0fa8f910a789,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,1843,486
00092b411f3455b3,1750232313095421,1750232313095027,1750232313095955,1ef3a09872c9310c,1e323178bdefc388,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,1843,928
00092b411f3455b3,1750232313095421,1750232313168091,1750232313296591,1fa7a95471e3df4c,280360ceed304663,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-t79fz,frontend,frontend-6777cd69cf-rms2b,200518,128500
00092b411f3455b3,1750232313095421,1750232313296884,1750232313297114,2490f3018f3741aa,06c315759d0f7c36,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,13036,230
00092b411f3455b3,1750232313095421,1750232313095496,1750232313097633,00092b411f3455b3,796c4491b0246cc0,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,215946,2137
00092b411f3455b3,1750232313095421,1750232313097682,1750232313298200,00092b411f3455b3,1fa7a95471e3df4c,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,215946,200518
00092b411f3455b3,1750232313095421,1750232313298264,1750232313311300,00092b411f3455b3,2490f3018f3741aa,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,215946,13036
0014058bfe7793b6,1750232310301016,1750232310310054,1750232310310609,731dbf63ca8bb896,504f5749e42f9b23,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,883,555
0014058bfe7793b6,1750232310301016,1750232310310097,1750232310310728,16421f0551969908,6e7ccab0a61d00e5,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,1089,631
0014058bfe7793b6,1750232310301016,1750232310308742,1750232310309625,3a152b55dc5ba36c,731dbf63ca8bb896,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,2306,883
0014058bfe7793b6,1750232310301016,1750232310309763,1750232310310852,3a152b55dc5ba36c,16421f0551969908,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,2306,1089
0014058bfe7793b6,1750232310301016,1750232310308620,1750232310310926,70384202e1c92851,3a152b55dc5ba36c,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,11059,2306
