microservice_x,pod,median,latency,microservice_y,cpuUsage,microservice,memUsage,repeat,service,cpuInter,memInter,targetReqFreq,reqFreq
frontend,frontend-869d96cc79-f9gzk,436.0,670.0,,,,,0,Search,0.0,0.0,3,3.566666666666667
frontend,frontend-869d96cc79-j5j6z,410.0,724.0,,,,,0,Search,0.0,0.0,3,3.566666666666667
search,search-746c9c4bcd-47s42,432.0,790.4,,,,,0,Search,0.0,0.0,3,3.566666666666667
search,search-746c9c4bcd-6jqsb,423.0,779.0,,,,,0,Search,0.0,0.0,3,3.566666666666667
geo,geo-6fb5d946f4-f62hr,439.5,720.3499999999999,,,,,0,Search,0.0,0.0,3,3.566666666666667
profile,profile-85f96b4944-8w5lv,376.5,807.8,,,,,0,Search,0.0,0.0,3,3.566666666666667
rate,rate-858b9c56b6-9xr7x,543.0,2614.95,,,,,0,Search,0.0,0.0,3,3.566666666666667
reservation,reservation-7bb589bc47-chrp5,1006.0,4864.099999999996,,,,,0,Search,0.0,0.0,3,3.566666666666667
reservation,reservation-7bb589bc47-f5w22,378.0,1375.0,,,,,0,Search,0.0,0.0,3,3.566666666666667
reservation,reservation-7bb589bc47-pdfx4,2033.5,3374.1999999999994,,,,,0,Search,0.0,0.0,3,3.566666666666667
frontend,frontend-869d96cc79-f9gzk,373.0,633.0,,,,,0,Search,0.0,0.0,6,7.133333333333334
frontend,frontend-869d96cc79-j2vpj,382.0,646.6999999999998,,,,,0,Search,0.0,0.0,6,7.133333333333334
frontend,frontend-869d96cc79-j5j6z,486.5,799.0,,,,,0,Search,0.0,0.0,6,7.133333333333334
frontend,frontend-869d96cc79-nwd6w,360.0,654.0,,,,,0,Search,0.0,0.0,6,7.133333333333334
search,search-746c9c4bcd-47s42,373.0,617.0,,,,,0,Search,0.0,0.0,6,7.133333333333334
search,search-746c9c4bcd-6jqsb,364.0,728.4999999999998,,,,,0,Search,0.0,0.0,6,7.133333333333334
geo,geo-6fb5d946f4-f62hr,447.0,762.1999999999999,,,,,0,Search,0.0,0.0,6,7.133333333333334
profile,profile-85f96b4944-8w5lv,258.0,576.7999999999997,,,,,0,Search,0.0,0.0,6,7.133333333333334
rate,rate-858b9c56b6-9xr7x,184.5,1018.85,,,,,0,Search,0.0,0.0,6,7.133333333333334
reservation,reservation-7bb589bc47-chrp5,285.0,2581.8499999999995,,,,,0,Search,0.0,0.0,6,7.133333333333334
reservation,reservation-7bb589bc47-f5w22,494.5,2237.2,,,,,0,Search,0.0,0.0,6,7.133333333333334
reservation,reservation-7bb589bc47-pdfx4,20.0,2602.0,,,,,0,Search,0.0,0.0,6,7.133333333333334
frontend,frontend-869d96cc79-82gd2,379.0,683.0,,,,,0,Search,0.0,0.0,9,10.7
frontend,frontend-869d96cc79-f9gzk,362.0,625.4,,,,,0,Search,0.0,0.0,9,10.7
frontend,frontend-869d96cc79-j5j6z,431.0,635.0,,,,,0,Search,0.0,0.0,9,10.7
frontend,frontend-869d96cc79-nwd6w,380.0,886.0,,,,,0,Search,0.0,0.0,9,10.7
frontend,frontend-869d96cc79-p65q4,431.0,796.5,,,,,0,Search,0.0,0.0,9,10.7
search,search-746c9c4bcd-47s42,329.0,676.0,,,,,0,Search,0.0,0.0,9,10.7
search,search-746c9c4bcd-6jqsb,386.0,751.4000000000002,,,,,0,Search,0.0,0.0,9,10.7
geo,geo-6fb5d946f4-f62hr,371.5,745.1999999999998,,,,,0,Search,0.0,0.0,9,10.7
profile,profile-85f96b4944-8w5lv,211.0,469.8499999999998,,,,,0,Search,0.0,0.0,9,10.7
