traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
00032a8678c45754,1750232518146528,1750232518147045,1750232518151666,00032a8678c45754,55cf341798893f53,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,7402,4621
00032a8678c45754,1750232518146528,1750232518151827,1750232518152699,00032a8678c45754,35695ffc64dbdbc5,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,7402,872
00032a8678c45754,1750232518146528,1750232518152758,1750232518153890,00032a8678c45754,7bd5ed43eebb4550,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,7402,1132
00032a8678c45754,1750232518146528,1750232518125826,1750232518129502,55cf341798893f53,227a141a02f91c4b,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,4621,3676
00032a8678c45754,1750232518146528,1750232518130561,1750232518130582,35695ffc64dbdbc5,6057fd3ecb9097aa,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-t79fz,frontend,frontend-6777cd69cf-rms2b,872,21
00032a8678c45754,1750232518146528,1750232518131492,1750232518131838,7bd5ed43eebb4550,5b4867b16df0157c,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,1132,346
00032a8678c45754,1750232518146528,1750232518148885,1750232518149983,60694c47f6382b31,75b709d2104e050d,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,2196,1098
00032a8678c45754,1750232518146528,1750232518129168,1750232518129183,231a71aba9acbae9,748423c68e918c48,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,928,15
00032a8678c45754,1750232518146528,1750232518126363,1750232518128559,227a141a02f91c4b,60694c47f6382b31,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,3676,2196
00032a8678c45754,1750232518146528,1750232518128571,1750232518129499,227a141a02f91c4b,231a71aba9acbae9,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,3676,928
