parentMS,childMS,parentOperation,childOperation,tag,service
ts-ui-dashboard,ts-ui-dashboard,/travel/query,/travel/query,1,Booking
ts-ui-dashboard,ts-travel-service,/travel/query,query,1.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.1,Booking
ts-travel-service,ts-ticketinfo-service,POST,queryForStationId,1.1.1.1,Booking
ts-ticketinfo-service,ts-ticketinfo-service,queryForStationId,POST,1.1.1.1.1,Booking
ts-ticketinfo-service,ts-basic-service,POST,queryForStationId,1.1.1.1.1.1,Booking
ts-basic-service,ts-basic-service,queryForStationId,POST,1.1.1.1.1.1.1,Booking
ts-basic-service,ts-station-service,POST,queryForId,1.1.1.1.1.1.1.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.2,Booking
ts-travel-service,ts-ticketinfo-service,POST,queryForStationId,1.1.2.1,Booking
ts-ticketinfo-service,ts-ticketinfo-service,queryForStationId,POST,1.1.2.1.1,Booking
ts-ticketinfo-service,ts-basic-service,POST,queryForStationId,1.1.2.1.1.1,Booking
ts-basic-service,ts-basic-service,queryForStationId,POST,1.1.2.1.1.1.1,Booking
ts-basic-service,ts-station-service,POST,queryForId,1.1.2.1.1.1.1.1,Booking
ts-travel-service,ts-travel-service,query,GET,1.1.3,Booking
ts-travel-service,ts-route-service,GET,queryById,1.1.3.1,Booking
ts-travel-service,ts-travel-service,query,GET,1.1.4,Booking
ts-travel-service,ts-route-service,GET,queryById,1.1.4.1,Booking
ts-travel-service,ts-travel-service,query,GET,1.1.5,Booking
ts-travel-service,ts-route-service,GET,queryById,1.1.5.1,Booking
ts-travel-service,ts-travel-service,query,GET,1.1.6,Booking
ts-travel-service,ts-route-service,GET,queryById,1.1.6.1,Booking
ts-travel-service,ts-travel-service,query,GET,1.1.7,Booking
ts-travel-service,ts-route-service,GET,queryById,1.1.7.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.8,Booking
ts-travel-service,ts-ticketinfo-service,POST,queryForTravel,1.1.8.1,Booking
ts-ticketinfo-service,ts-ticketinfo-service,queryForTravel,POST,1.1.8.1.1,Booking
ts-ticketinfo-service,ts-basic-service,POST,queryForTravel,1.1.8.1.1.1,Booking
ts-basic-service,ts-basic-service,queryForTravel,POST,1.1.8.1.1.1.1,Booking
ts-basic-service,ts-station-service,POST,exist,1.1.8.1.1.1.1.1,Booking
ts-basic-service,ts-basic-service,queryForTravel,POST,1.1.8.1.1.1.2,Booking
ts-basic-service,ts-station-service,POST,exist,1.1.8.1.1.1.2.1,Booking
ts-basic-service,ts-basic-service,queryForTravel,POST,1.1.8.1.1.1.3,Booking
ts-basic-service,ts-train-service,POST,retrieve,1.1.8.1.1.1.3.1,Booking
ts-basic-service,ts-basic-service,queryForTravel,GET,1.1.8.1.1.1.4,Booking
ts-basic-service,ts-route-service,GET,queryById,1.1.8.1.1.1.4.1,Booking
ts-basic-service,ts-basic-service,queryForTravel,POST,1.1.8.1.1.1.5,Booking
ts-basic-service,ts-price-service,POST,query,1.1.8.1.1.1.5.1,Booking
ts-basic-service,ts-basic-service,queryForTravel,POST,1.1.8.1.1.1.6,Booking
ts-basic-service,ts-station-service,POST,queryForId,1.1.8.1.1.1.6.1,Booking
ts-basic-service,ts-basic-service,queryForTravel,POST,1.1.8.1.1.1.7,Booking
ts-basic-service,ts-station-service,POST,queryForId,1.1.8.1.1.1.7.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.9,Booking
ts-travel-service,ts-order-service,POST,calculateSoldTicket,1.1.9.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.10,Booking
ts-travel-service,ts-ticketinfo-service,POST,queryForStationId,1.1.10.1,Booking
ts-ticketinfo-service,ts-ticketinfo-service,queryForStationId,POST,1.1.10.1.1,Booking
ts-ticketinfo-service,ts-basic-service,POST,queryForStationId,1.1.10.1.1.1,Booking
ts-basic-service,ts-basic-service,queryForStationId,POST,1.1.10.1.1.1.1,Booking
ts-basic-service,ts-station-service,POST,queryForId,1.1.10.1.1.1.1.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.11,Booking
ts-travel-service,ts-ticketinfo-service,POST,queryForStationId,1.1.11.1,Booking
ts-ticketinfo-service,ts-ticketinfo-service,queryForStationId,POST,1.1.11.1.1,Booking
ts-ticketinfo-service,ts-basic-service,POST,queryForStationId,1.1.11.1.1.1,Booking
ts-basic-service,ts-basic-service,queryForStationId,POST,1.1.11.1.1.1.1,Booking
ts-basic-service,ts-station-service,POST,queryForId,1.1.11.1.1.1.1.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.12,Booking
